Date,RainTomorrow_prob
2016-09-01,0.28261408
2016-09-02,0.5884721
2016-09-03,0.6891474
2016-09-04,0.38571972
2016-09-05,0.30421424
2016-09-06,0.22484694
2016-09-07,0.059691433
2016-09-08,0.18433248
2016-09-09,0.6577718
2016-09-10,0.7298114
2016-09-11,0.21970487
2016-09-12,0.09696632
2016-09-13,0.12149979
2016-09-14,0.7952474
2016-09-15,0.44857097
2016-09-16,0.37556508
2016-09-17,0.17516765
2016-09-18,0.497676
2016-09-19,0.12614849
2016-09-20,0.28177854
2016-09-21,0.7539078
2016-09-22,0.2587848
2016-09-23,0.06217468
2016-09-24,0.15072459
2016-09-25,0.39283344
2016-09-26,0.18196024
2016-09-27,0.09327577
2016-09-28,0.11167091
2016-09-29,0.65925837
2016-09-30,0.37144676
2016-10-01,0.69779503
2016-10-02,0.25692245
2016-10-03,0.62847316
2016-10-04,0.52732104
2016-10-05,0.122873396
2016-10-06,0.08647366
2016-10-07,0.09684038
2016-10-08,0.09090386
2016-10-09,0.06281127
2016-10-10,0.420954
2016-10-11,0.060697515
2016-10-12,0.09996807
2016-10-13,0.115399785
2016-10-14,0.086878955
2016-10-15,0.14394419
2016-10-16,0.35487112
2016-10-17,0.39537925
2016-10-18,0.48928744
2016-10-19,0.1500055
2016-10-20,0.07035494
2016-10-21,0.15552032
2016-10-22,0.21969219
2016-10-23,0.12309104
2016-10-24,0.076702476
2016-10-25,0.059367575
2016-10-26,0.16670862
2016-10-27,0.07126163
2016-10-28,0.0974389
2016-10-29,0.061929416
2016-10-30,0.25622994
2016-10-31,0.06461467
2016-11-01,0.10234147
2016-11-02,0.09947875
2016-11-03,0.11558495
2016-11-04,0.05796002
2016-11-05,0.12508631
2016-11-06,0.13109599
2016-11-07,0.04937023
2016-11-08,0.09278701
2016-11-09,0.06913379
2016-11-10,0.07716497
2016-11-11,0.08154541
2016-11-12,0.33025616
2016-11-13,0.7926609
2016-11-14,0.28810278
2016-11-15,0.08216981
2016-11-16,0.082194425
2016-11-17,0.057396773
2016-11-18,0.06448263
2016-11-19,0.06411623
2016-11-20,0.059042465
2016-11-21,0.20232426
2016-11-22,0.10057286
2016-11-23,0.43084955
2016-11-24,0.042050544
2016-11-25,0.08332043
2016-11-26,0.08803912
2016-11-27,0.06182051
2016-11-28,0.055528406
2016-11-29,0.05963147
2016-11-30,0.06935726
2016-12-01,0.035281952
2016-12-02,0.0659341
2016-12-03,0.031682026
2016-12-04,0.07836253
2016-12-05,0.16006356
2016-12-06,0.15712336
2016-12-07,0.0664204
2016-12-08,0.0798312
2016-12-09,0.050068505
2016-12-10,0.023175925
2016-12-11,0.04990583
2016-12-12,0.055375192
2016-12-13,0.07768036
2016-12-14,0.15157783
2016-12-15,0.027986784
2016-12-16,0.6775652
2016-12-17,0.07496247
2016-12-18,0.049606588
2016-12-19,0.047736395
2016-12-20,0.04405882
2016-12-21,0.10183842
2016-12-22,0.048786066
2016-12-23,0.062294535
2016-12-24,0.07770731
2016-12-25,0.07222198
2016-12-26,0.103341155
2016-12-27,0.49746707
2016-12-28,0.18049432
2016-12-29,0.7184646
2016-12-30,0.4924316
2016-12-31,0.042865876
2016-09-01,0.09635975
2016-09-02,0.71070343
2016-09-03,0.3137897
2016-09-04,0.055297934
2016-09-05,0.047826048
2016-09-06,0.05577807
